review_id,senti
oLRbuZGQX3HXngloOP9Iyg,1
0G8-26jpPuP-mCtEYt0e4w,2
FIyiT1qANHqFnLwSj2GHSg,0
Eq-9UvFcXjMv7-YJ6AN4bg,0
Y9kGlS_hRVm-hUZdUI6HCw,0
4IaqWb5aVF_3vn9VDmkkQw,0
-Q2UyQHPYoUJ1w4dxJLP9Q,1
4lcSgyxTtBFGP3ELHjt9Rw,0
DbaZp7nxwSBYMYm7H7bYUA,2
e4MURLU-ay1oKfYWYFtZZA,2
XmXPrMBBtnbn0SaJuCrdfw,2
ouvPx1O3T8qgpRd7zAgF4Q,2
YzYxZa4KuzwGEv4Acv6eRA,2
VJM6EkzxYJhkdDYghljVAA,0
hzBWuoev8PWWYzj17I-AIA,0
WODUyP5xfFIGt9KXI2B-Qg,0
MxzDha3qkAb0UViuAt59Uw,2
T33zdw1CRT_i_PjHaY17JQ,2
da9sPNEc56MJaj3XVtUkQA,2
OvnEywdRjs3GH2C20ABkEg,2
mRP2G9evalWNNWRMG3IZLg,2
JvedhCnqxBMHwpsC6cqYHA,2
CY5-AiELaZeXZQINU0ehGA,0
-c8UiaK0_ywW1rGW70p6KA,1
bafIibL9Ifvsyx8IYoTxqA,0
SDvUWdhf3Ma0hycEfb7BLg,2
lMBVaYP0eg-pKUi66wZiYg,2
JREhL-bO_obMa5fomtlDXQ,1
8buQafcHiOeGZWDwuzM83Q,2
Fgbr_pXLoh1_bh2_lNsS6w,0
MVYVGJl0YFGHP6I1McBB5g,0
3vqrERh-7YAxwmZcgftBag,2
0_8Dl3_SHoomlAL0DhmcoA,2
bweVxk2EY0t7LaFmcJ4VoQ,2
zk2WGDkCtWusmyWMe8-YBw,2
pN-45Owpa2EfwntpjR7Yjw,2
kU1SVddP0OZMJfEYNmrYBA,0
2QTABIuq5Ds1ez07PVUNXw,0
3P08MH2cfeHCkm5JB9tcNA,2
KXUYRu6qL__g80nWEVR6EQ,2
1Il-WFE4LczuU-huqx6qvg,2
OxIAHGpubbIJhBbkrJILqw,0
aZYPHUpUlUL-dC5YszoB7A,2
MEdLHSaCPcisTM6xkp-nEQ,0
HZwukuJ9vEwRz1B-EdS0Iw,2
z2zjcjOaaE3jBRjj8eSDSA,1
u7nJesTF_BOjjWP4ANDiGg,2
PAz90D_IOgggSokXNE6vNA,2
o3sZ_ZRiU559jj6eYvSBAA,2
t8-zSAZoBeM-Tfw2tPLb1A,2
4DYTMRlfSXm2Z1R8Ew4UZA,2
Vd5QhgWGFqsCoZzH0mqSbA,2
xc50WVpIRS1v-0_UaWx4BQ,2
ySHpuksNiRrSTQWuVg5_QQ,2
SItwPJtUV0gLlkpCjNYyyQ,2
hQMOqiozqwDBgJLKIb7O9g,2
THCLy9V8TdJ7YPjk3RKSNg,2
uYu5qg9qNCgcHATE-7Q8JQ,2
try59U7AwF31Wfk18svOzQ,2
fUongdSuqlMI_POVc5npaA,2
oQsnk_KDLu-FUwT4mdH4aQ,2
mJSr6ueAlPcWQBAjYVQlxA,2
jXlB_Tl4UNhc2B3Bpmri9w,1
g0NnNnWq-z2Kade1JoUd6A,2
U6EWe0oa5WFix9cR4b8dfg,2
Z1kgO1lPY0J4IA6FlopCPQ,2
XbFwG64RPhbli2zCWamzxQ,0
YdxZFIPk432P7xlxHtZEhQ,2
DLrIXqDsH8VRmq6uZ-MUVQ,2
UcnQB-M4z_wzrd0oDOmzZQ,2
GKRmyaW416rFG9-Z5_bv_A,2
OHGFDXSL_e3M2hhrKDuCtw,1
zzErkuVs8bz31StcTPAL0A,2
Owh774K9DfucnbyPa04U3w,2
GjRK8gm7Mw3NmuyBUS7Jww,1
bc8TtgHyfo8Mp041SZqtaw,2
7S4iQAycfYt5C_rhmH0rFw,2
CxOSKHw6xSF66evj5UmZLw,1
SbrCpb9CQJ3VR3I796jCiw,2
RiVSLWcHDwBWuNqLX5l4Vg,2
EJ26qtducY3Xtn3is_-Csw,1
KCpislDj5Rco5_AlMvJl_g,2
08sS686pkoS3pps81gWsdw,2
cwgLEKuYiJ-JbJINW_DvrQ,2
sPreHf55bXJIpayQRgXgxw,2
Dqfa0IpwAvsxfzOUn6TTgQ,1
mFYUVhLUBAx9YCsGgvLMWQ,1
-SK5sWzUbsdPL1sk4uJ4Eg,0
m3feOL5JwsMgpwCYeVaFpw,2
dgmMUgiqw0j0jyeiQ9QL1Q,0
eL65NaV6gBb-JAXNAGqQvA,2
FJrukUFE21ltyDvheqTXYw,2
-xRE3m8y3uGFPMENhCVjIg,1
eJ8gV92tgc_2gSk9VhjSfQ,1
cMFnAI9I4CeJTz1Hs5ukjg,2
jKBKIE7yZcy0qdga7qzRUw,2
L1rDyx2puC7JO_gwW2hnJQ,1
fA479iMR4QTE3El3y4nzag,1
tR9WpmiQAiYOPd4vKwF1rg,2
8RU4L_xkIPl4MXCcjNFwzQ,0
UjbEVctjsgVsC2IAOdwsJQ,2
PaMGIIFwN4tch55Wn3Emiw,2
sTrfUl4u8OyKYkxYyJpZYQ,1
hY9i4oLqTxhPHLwhk3M0WQ,1
0oLalZY4gwDpP6F0DWMt4w,1
M8XMifGLlC2flBi064Vypg,0
v-DYKIQ3iQhGgKx5O-bQgQ,2
lAIX4yQA0ic0za6r_GmcmQ,2
83xp2jcNgmV2OHT0QPaAtQ,2
HQP7DoSRApOhYbyOXVQY9A,2
b1HMa2M8D6pQdq-NrfQWbg,2
BJHtwY2rBRtk9vxV9PMYKg,2
mJLU0-6pFO1sVjfbPo3HJQ,1
623_OShIKs3uyunXflxubA,1
9gwexNBHNqYAcUJOYa8x4A,2
0xrUeItlRLnJZRRfVaRR1g,1
qqkKOlFcDnVNTDM5hijdOg,2
pD2jaYeagwJ4P398jCbgpg,2
mWFQ-vnbW9X-RzrcVHcl9Q,1
gUV2RZVyMibIZMaPYm7vlA,2
atB1bMtgOqkMFRFKvfhgOA,2
vSIJ_laUuUNcyAVv6gz5eA,2
QgjQxcXbgFFDlxPhXWhAOw,2
-Z1_s8TWBMT5FVY57Q2ZKg,1
eR0ZPSyeoJhqCQHmE-0gAQ,2
670g5HzaX3Teh_e8-LPlfA,2
7tps0_p0xYZKR-Sq7S0S5g,2
nzmTA0XKW9TpXxaNCgTNyA,0
p9c6iwyO53FuqMsSmUTa0A,2
COYbns0SAVXVybaLzM_jZA,2
Vt22EPBIuy-OxPKTC5_0Aw,2
0KIhMAn-mU3FVhjeKjhsAQ,0
ZGe6aEw_dKR24crIuKVbaw,2
1ZWD00iJ5LnYja49toqfkg,1
SFKNeOH27yzGr475VXTyXQ,0
S8pv-N5LfwHNMX9BHdGsdw,2
UIJgBAXYxiKIuJP5HyXThA,2
xp75l8rzApK_7AmrCke1SA,0
sqEFqwapNeb3T0LUhtWPtw,0
Qidz9jH_EjxCF0ccXWZM5A,2
3XM3VDR9nKpZ5pwtNgTzeA,2
VBUirAeNo11AXGiurFbizQ,0
k4FwwMbtbPj9jF7tPuqiuQ,2
hiZ8QS884sOJ-y-B2jmkbQ,2
zZGvVFxxHbVQHWEbp2_FUg,1
UrJuFrZEhrS66gBpgoUULA,0
33m9BqPYnB-KXcty12_kyw,0
EMTyb3gnzYe_oqggmsVDRA,1
QcDA2bI9TY-P0ZnDTO-DOg,2
Pw-k8lXKo7bsjCggTsvOWw,1
R9GjCQwi3Dzi98NifJ62Mw,0
1lzxPrHEEBNCRso0ls3xog,2
Au7yIlcxnXCAorT4C2ZNPw,2
6xFq7DdmYNncCM7E91qJKQ,0
oLk18ZqJ15B8ykKNfNu9mA,2
3UMvKrcM44urJERvf_ZBHw,1
5pb_y20sliD2ERUhG5VfeQ,0
H5YRrjODkyZCrjXzBd9lFQ,2
wYu12oT-ySVUYf64POjSsA,2
oPKGd_SPE5UeVJztyHQicA,1
OJVrqTNW--xr2ZJcuDhTgQ,2
VBsV8UKEAyMyG6412yw1Dg,2
sdeOHPwQ3fPmwK_O3ELRWQ,2
Q8byj2tEJspIpmE98d_9SA,0
jzElq-rIuCwUFRd1biHIgw,1
5x4CGg4Q20XmrXiEt123Yg,2
T_pM20HO2Xbw1GKJsHbLuQ,2
vJ6ZsibaifXc2qYs6M5EKQ,2
4LGeFeOAt05Bs63pNY5Bng,1
TWLAxExK3xuEmMw2OWmk1g,0
PhT4PexKo80yVZ1U-WvsuQ,0
a1JUzf90Y0VALI8dSJWl5Q,0
nnfSNBtX682qfpLCxM_eNQ,2
d46AbAaTfd3G6h1TfpekjA,2
O9EK8HDPjrDCrtIvWDhi_Q,0
o1hXYvUL4wXmymGDSqjIiQ,2
NoH5Ipnh7hL0VTRwzAs1vw,0
5DaQmWPL8bEkCpWg6QNuMA,2
fPMcHMblv3bnmAQJFLO_GQ,1
yAsfTwHpS-tYADs-oyRkEA,2
y7B2xWlL6t9w-Cs80-JMaQ,1
-2t8JjAxrug2dSf-bIgjbg,2
rpuy9ZD97UTX-vl1SWVslw,1
z7-4myYSEVRnbXhu2Uh95g,2
nmy8M2ptJIUiM1nYftt6Qg,0
e_5_G16R048hU3B1ox56RQ,1
rjFfA44FFYf0_BacrAfTjQ,2
5IvqDfDtSlczuKjpxJ3Lhg,0
jx2FIPerVOcfCtVMP_gq1g,2
g1WzMsxvYTmpifjX6iZXMg,2
Ld5ZWJfgOgR122dFDdz9qg,2
pivmjmR47Z50SptuTBaJmw,2
-ACYtFVUJa0gtuUP78hdOw,1
75ag2Y7YNHDohV7KWArWBA,2
nDS8v7-80qonNYfzr13plQ,2
pM85L_nXehDQ3JMRDak5Fg,2
K3Ya7HvuLTYzggW-UMu7ZQ,2
IOMeSrPCs19JEE55i7Vyvw,1
k4MesY50RWy0woYKAZcK1g,2
s5ZlyD4y5DO3-H2_tQoIIg,2
mLcZXVhL2hL7d47eMtkdlA,2
Ug8Q1Z3RWm6GknFw8J8pKQ,0
cn88GVu2dC_k3e6ITlrT7Q,2
Efb7OoNloVWqTdG2QPnEyA,1
tVWhXs5LR-DOKmx81Yp_qw,2
cQLUYPpcnYRJS0SYalauOQ,0
1j3jD590syXV85pgUoa9kQ,1
5_L0MWam5FW_TgNAA3ArvA,1
jjCR9OvSVjecEEnb_vHfMw,2
4KSnHpdi13YwdlQUVwddIA,1
OcrkmZTtITP9lSYJzI_3Mg,2
r4Fu45DR40CZXFh5EtjZXg,1
K3d_R5o3uR6Q_PZKXkYJLQ,1
HZJX3sCrGFXuWAfnjmS6rw,1
rx3SCFV_oJjQAkwJZbVo4Q,0
XoKi6ngnwkrNJuayI8bvNg,0
2Tq7kZZooIa3TikHrm2tpQ,2
ou4kQaZlOxKX5QvLCX9oJg,2
YeoYTRw_FtZbhRl5o5xF2Q,2
pBWq5iT6rZRmnFKN-8dV5Q,1
ApB53tcsE3Aj0aAP5bib2g,2
KVuVM7zMaHXhXePHK4EKaQ,1
wV8QwIG55twK6LaAkFai0Q,2
1wtrYYic3_AZZlSLC8Bt9Q,1
XrTZ4_lH35gBPQfkjOQ9JA,2
_TLQlbdhwWIy2dSrkEeJJA,2
PdIiM9CVDAXLHHf-ki23sw,2
QiFGEApso82_lbccPkBuMA,1
ZByxPqGyZk4YxPGMkhWTjg,1
HkGMo8mz64UKFtaDM9m8mg,1
n5FdWL7pVSPlCz-EjCtCTQ,2
7CdBfNrXQlY0sdGgCp5K0A,2
g8XxQPxjK8WlMVsvSpga2w,2
uJi5wP_65CWod5Z_NNRglQ,2
BWdGIGwNkZfGJOjN-wfNBg,2
4LGWuT7CXhfoZGekQsVHSw,1
i8tiP4Q_yFAFp7eloJ0HrA,2
z-IiMSYLJgK9gyPsHOkbqA,1
v-d9a7eDrQB5lUdUpwzDkQ,0
MWnrfeICOMndWGnmnJpB5A,1
A3Fof23EVvaERnCRXn19PQ,2
hAxN5eM3eau8716PJw3DKQ,1
Wlw0Bc1JoXbY_oNZEhKHRA,2
uYldvUZUAr3WC9Sg75NeWg,2
8s8wZ6_1H1guo2RBOIgTeA,0
xqZmJin2tdrQLZ5rVqer0A,2
f4xQd8p_EdXHpMvJ8IPATw,1
gAOYswj_WichMCsHVzxRJQ,0
QCEcQvOAAirKVhjDu9pi9w,2
n6i_ZD_I9DoG9HBax9NE6w,0
SDZpxMwOtcK81pBcm90h9g,1
WHSAa3BSxSVECd7-SThgNQ,0
B4rpyYwmfvK9PjprP9ckow,2
XjoGI6wGs9QUb70WhYg9yg,1
eoMEFNUesBequfhuII-Wxw,0
GVlbGE7V6F-3lfksWV5dvg,2
IVNNrdi8wKK_zeO5fdPyaQ,2
4f5P0XnfNKHf2bLRo9jC7g,1
RtwRY-6xa_aF1CE6fTTaJQ,0
m3T5QnkLAL0dQzNTQv74nQ,2
gG6jCUv-NzTyQGiHjnLhmA,2
V9tzAAWWI5tQl-aBQX49Rw,2
QUmYmmb0XYf_H6CRC07Kgg,0
YDTl3LUc0f7sLX4tbg0cfw,0
63AYhcBWNdJgOr76308s8w,0
MNCBEK-jTFdng5_zAHDCPQ,1
9YCx-zt0qvtT4stCZ9VyHg,2
-9WpYe5WYzwVOskRyk844Q,0
B5EPUBIO6VpVToQZLKuiBg,1
pO6NliajZnYSgp0RpI_PYA,0
N2Nb1qyfH0mOtkshSenVhQ,2
DomVyi7N0N2xt3zLSDGtYg,1
2mkOJ0rrP-5LrJBUV7-IPA,0
MNrfZBsSckijp5Ne4suhTA,2
nO06A5Keg3cd7A8a6uBpow,2
3518xjNa-6L8d39urtM0VA,1
w3ARzFi5shoDm4dNqoblmQ,1
nOTOfZcNNgQ7az9M7HXIXw,2
WmlAZbrKC6mePJHAG9nVMg,0
yRJtMpNuq0DmOMz2zZkFpA,0
SsqMjaROQnUJVOWNuRXjYQ,1
YyjsdVCAdZlkNqDyWBwvzw,1
__eJcAvcKaRYv9IszAOTfA,0
1UVzzbISB7e6wRJmmkbHSQ,0
xJDaPFDi4m8M5nOpPjndMw,0
OY1OIP5vsm1K6HpH3DD43A,0
SloIjThPIVLj-qN8Qs_OqA,2
dgL6DA9rs9BQ_bhnLqnp1A,2
M6YFq3DfhYv2jsMzyiUOZA,0
TNJRaeBUK0y7vzWILHR6aA,1
wP1vC_OeH2BB-kMSS6WLFw,0
mQcO4T0EM6TlcsOAj9gAkQ,2
p8OL6f5A_UFJ3Oui1lCUpw,0
NmX68INuB18FJOKDI2RpPA,0
tWHzcj27pAiCXTFn7YJ3Ag,0
bXcoHXtqNmt128nPSJ6gAQ,1
Q6upuf42ylqstaTzraZLhw,0
u3Hjk31PbvENS3UFlRwRuw,2
RAtTywyir4d9HgzFh2MCNw,1
FnWNjnkIr8iSqAVGDfKEYQ,0
bPhArth5Hh_PnyC3KjEFRQ,2
PuAK-71mxiUvtXaPtUyoBw,2
JM_5C6lxGlRJrNxZ2U7RCg,2
pHVu84s7vR4hACRlgSWaXQ,1
qzqSZXxoXglIb1HA9nYAfg,0
fD7-k3eAHOUyVWcQCKi-pQ,2
B-5Sa3eM9IHn-MJyJmeYgg,2
lLkodlFT870dEJXhgEZjJA,0
RKNZb5B8fW1GksQQSxItcA,2
D-12FyYwEPnhIBGKqTKnmw,2
1rdEyE7w729QVAOvDjqoEw,2
vs6O-BmcykZm7SouDyaHew,0
j-J6c359QDbxGVbQurrJAg,0
SOLQ6Rz3twxiTC0o9Uzx-A,0
e-a-UJjclNbUdj-JHcl2Pg,1
EtDeBrJK1Aq_HpzXoGNmsQ,2
ZJb62J_2tgRjSWXoCpRDdA,1
eEfFeKDo_9CkwoblFvUohg,0
wZPw-PM_1yZGZDw18iHH0Q,0
ytnkoWuNg_uUJXTLf_jFaQ,0
DRFd_Q5jLnkU5mWFUUiPCQ,1
IkL1Us5aa1X6F-z39LQk0g,0
i3iVEIAGv5dOKNe4-GlPgg,1
dlRTSAN3mw4CTku29Gj_3w,1
IbSK176EvW00znHzFSyB5g,2
E_f2xQtdycbZH1pQd_3sJQ,1
3bRdNQ_V_a2yQlN1m7IL8Q,1
SB-k_dHROpujViFqqJx7-Q,1
af1DvRbIEFBNvg0pVnLZ0A,2
nAGHzPKfjr10RxNm6Z6lnQ,2
OCRe7BsMt7sysEfi048hBA,2
PiU3p_6LAc0d6RGt7ZIIow,0
pcV5VBfcImFgW1PGJmDYJA,1
6B98VBeT8yFeoKynmjLMnQ,0
eOuoNmXSH7FmgOZlq9ywsg,0
7tFvtEanoi_l-fmc7ACrXQ,2
qzlGTRuFsb0ol5HKQ9Cuug,0
iQzHsaKGO-d1qVyznKan1g,2
T2G1yVpiuxQr94Gvx2NFmA,2
WFA_zMaArCt11VFFglfrQQ,1
ZqouUugAX2sSNuFuMMlrsg,1
4lkCjM_MsbWkz9QFrrNx3A,0
OU_N0JPoQJHRVSzsdhzqtA,1
