review_id,senti
AlFn2N-WZk1JZG38HaO2fg,1
Vk6bawa0MRAitPN6JHItIQ,0
QFKDDpXGgwr8ePFXoeyJlQ,2
nLyhUCHBqagd5C-DbelzRQ,2
n4C3_0c_GQWzXMiYMLml3A,1
fUYyL2CDvnmzeULSxw20Pg,2
ScmewNTumstf_C3DiPmhfQ,1
SdhTdIXfoEIhFja5gAJ8pQ,2
gEvLe7_q2YD3_1vjui0Jzg,2
qquD0dm9o7HL2orhONMmrA,2
QI6kOXMAjrSXrY4wlki4sA,2
uqSSx2h8Au-Tb4NZ2tl_nA,2
PMzZFi4X4C2h6zB-JkbRpQ,2
9T5UObfUOImSlhIWHKw0iA,2
kXaAyLJgeh7u8Cwa1Pr9AQ,2
5pEZ00rNIKLm0W6pD4RADw,2
-PUGYcF8ej2N_ckD0uGGZg,0
z6jH9KUM8PHF1v4QEau1Vw,2
RjWkZlxCpyYafVwpcZyorA,2
tgOTgcBrsxNWMuL_j27AYw,0
fYXREkW0GmJCvACdoIe88A,2
ReuLNlcQJLNco0ENEiniYw,2
wbpwt6gT7sMCCXE3_cvX-g,2
eW6EFu80hUEvc1mQJ4FNTQ,2
gwQzCN64ePFK68VpQjxRdQ,0
6Qg26MCx8FNnfbWPqdAXWg,2
33a70jAd0b2_dQjm5oe_2A,0
ICDI9TwjlC_wdVpEO0LBNg,2
zcFg3vWHv9XglDDXaSQZyQ,2
YCaRgeH3IEpv68eiy0DhiA,2
fGkYQhLzVFu-DAr_va4HLA,2
hU3jD1u7ZHKCw44iLuf_Gg,2
7wyXcy9R84BEcx7JFtmJFA,0
oDRaCojtFRmOaXaZhV80Ag,2
iN24sKZRWSn1GPuM4ULbJQ,2
yxKrm8agksbIv8WcRKF6vg,2
J96IHwS7M8l5cGF1y_SAow,2
vNuDs28Q0ztyS1u7BTOIKA,2
5R-n37d3c6D47ClGKsmZKg,2
JbgBP--klgupR3Xe2zdrsA,2
GaSefUXcbERuyShTbkgOgw,2
Txa1vlS9pcX48BRtCpxPMQ,0
cPiAfzb_60K3yg5WYHMYZg,0
MqB_h-NCYnjhnPYKFTsLPg,2
bbq8oIDvLbQ5XZx0UMX-nQ,2
IFCI2iSnr_E_ux_F_tlgFA,2
pCbsV7rPuAtuNNeyk2KrAA,1
Rtmj1v5r746lrWa2dG7gZw,2
RAze84dmpLtyTH0ZQHfIrA,2
hrYUhsgosXpYplIYsjFTVQ,2
-gItmsn9wEnIEVMLQCj2Fw,2
JsX6h87ub7zqudVqbnHfqw,2
JW9eb6mLCdJO_XI7j2K-sA,2
sol3FYRN5SaduPP--SwprA,2
XPDIgwblKgMl-Gr49pZRfQ,2
Cvx9tXRJL_52BIL_yMpo1g,2
WLDlESJ5nWAxxFoKsPuKCw,0
VuEvbfSizOOc_R2238SCHw,0
QB4pkoAx99qTYMbfOkk0og,2
xFGQqJeVHsgfhYg2AZ5rXw,2
qTb-O8gCaJnLAq1djhY7NA,1
8jwjXUlJSYQ1fCwYzjIgJw,2
L3SSMC-8gd522tCrN7_NWw,2
Lxt_JsWjHg8clRyuDHXHqw,2
XhnWShZDe_FHmSatAuXDng,2
CQOV6K2KRkVgYiAlHdwEww,2
gmUZeqmS4fm92M2h0D325Q,1
RP7nViAZE_sk1lHYxbkHXQ,1
-AKRUgGQYA9KWk-6jT9TDw,2
58e86GEIyMpW1YI87Ms0gQ,2
MFxWqEo6Qt3168JQLAw2dg,2
qkvdtckJowTUCsYeGzR4hg,2
EEh9lXvEg9QlWmyuSZtxgA,2
fZFjRNGlYwWWfh7iqtybSQ,0
2WR04uwZXi5yJvqNjV2jxg,2
JNXPLCl4VBTEpvVj3s9ltQ,2
jROJYUT6hHrMtfyFwe9ONA,2
OeY4TkinZA03_P7Eu3ICKw,0
5o-IM_hWyuCkndzeklp21Q,0
TfvmYqLVeKMlVT1ivixZzA,0
3J4fHedTuwrpylZeH73u7Q,2
hLLfWtZSERjU_EqzRdjWAw,2
107nXIOciCix_K0l642-Xw,0
xtADNSQu16bjYXN3rMzu8Q,1
k4htWztansoKpwuyyvz7iQ,2
lk9kwQOBYFtn-2DxVoSrlA,2
AzN5jlFGEJtfw-cwznAm4w,0
-VHi3rggEzrwvXSEW8g5Lw,0
