review_id,senti
WlAiZlchJcxEvdMJpEHmlQ,1
DnTBLyL78-AEsxW9MhzmAQ,2
Ec_G0-Ot3hCdT8hiMFHQRg,1
-9LdJnb7uxI29S-rgRZtkQ,2
JJjbzhIUQyx7UUY89pIJJw,0
NwEKXXzH9mpa1gL3pGYtig,1
95ysnwk8JdAOfzpu_TuVgg,0
5xTGA1Cm0g4-ssw2W4daUA,0
qB4ySz0Nx1yPHweMEiv_pg,1
z3DtJDeJTAolrI2t9ixsWw,2
C-MpXsfPx-XP97nE9uCDKg,0
YCEy9HEHGnVwgRkMWubhSw,2
6sYQ2wtGDooVhGEKSefOsg,0
EgIOgx-fBKvXCd58BM9ApA,1
vV3VSIe1_oppltiTv01gJA,2
ii369c2jLhv3mMO5lyCEgw,0
-BABUtiT6fZc5J1A8p2wEQ,2
dfgRNJuoMr7dQmc_20lVLw,2
U3iOc_224Fft9T33M3YUEg,2
WgFzaFXncJGEpBxM0I3qIA,2
i3FBug5e0lGlqHLoZsJD5A,0
r6szJ5AjX1-K4GZYO4vrQQ,1
1dwXG-mOKrCqYxDjiOIJXA,1
7nW0-HH1z5UE6S6Oo_Rolw,0
wT0HVBBB6-YG3nXk2xmCrg,2
Qwypi2xyjDGNefDXrF2Mcw,2
HrCn3uQVx2Uwkq4WokAFNQ,1
tyZ6ywPiOkXDnIytH27YMA,2
vdME3-krkd3cYbIP6zG1sA,0
WXqE9cJ2_SEHthrDLeXfJw,0
PH72Y3IzYwUFtKJ0Ei8h8w,1
LFKXrB40LfFd16xtSuy7MA,2
yZ38sXGXlRMf5ZWqVvlDdg,1
8oUQMyHuYxQv3oNfZwWgdw,0
mOqHrolmXJV_6OWvmpAKPQ,2
Ib8R2bQjHPSLxdjFGbBiOA,0
yEkSXpTQoRIOhwCrCbGMkg,1
wuaTVdgCiq9SFKzi6gpclg,1
YJYEheiTI5m6JxNoZnjKBw,2
hxwRgkM0ZaLZzbC_pQuQdA,2
UqumO_gSxq98zmavjrooEw,0
eVyY5RjJuAoH31ilN99tEQ,2
KeLwPrJxPcXD8SQt7MRmQA,2
cJQ73cJ6oFa-nNX3jGfG2w,0
IuO1HnfccQDzJ7upwOaE5g,2
DF4TdaE-LNRIg5nzpi20XQ,1
Wh20kMAAkllxj0J9PJiEww,0
