review_id,senti
kIj1E0b7iscUefYTuvBi9g,1
H-oVYhDX62S54oHhVzp39Q,0
LwYLFk9ac-Ss17VmZeYApg,0
TJjfbdhauqc1_dn43oQcUg,2
oLp_I_oVZyy9Iwbrgp9KdA,2
RkeKScLjiEkfgNkAvguV_A,1
LPHs8_XAJuhzWnFNRiZ7hg,0
AuqiSVqvSBrs2VxlLV103Q,1
9tNmWqmapqquURgh5HTPOw,2
CQ_1xUCSxCqbv6fG5qsi0Q,2
6z1cy7x4n4K5DVVzGvbNZA,2
9dOFvYpd_86ddRKu6oGySg,1
m4DBElhaaOQ9VyCHbdXTDA,2
NRfnFBkEtb3gJTFDEQJoMw,0
tjg0vjnPGQcZndoDlxj5gA,1
LCL3b918Ms9N53KZhk_QAw,2
SOmQAdRbpgAmRLXMTx52Rg,2
ZtVwDSt9Ah8OncAOXaNXew,2
FIcDaTUWV4kOwXR1fgIBOw,2
QBr-FycEKU8jhtMFPbbwcQ,2
7t9n5cbLSMjdDSW3Lo21pg,0
Kj6rY6ZtUU_0Trb7vEQ0jA,2
lnxsRr1wf0Bt7cXtIBKM-Q,1
gLKueoJFwojwTsQdEjQtMA,1
Gw0Fb-8my_jgVevXkD6cxQ,1
qDxOTa6DiteKlge9Kd_4wg,2
OAfgXoneDUE3ebxT-4LBVw,2
_HSTD97RCTj33IeTtxg3Lg,0
T3qWZ7nBFUJww_JyXtL0kA,2
phXPnMnCYmyJYH37Qydfow,1
Kjr0yRae_afBmJlJc-3H8A,0
7Zf18ymdcVBDZGHV54dX6g,2
A_4UTTkmcgHzSKsN4R041w,0
mZRLK35Ovmj8I_u2Gc7j4A,1
v8-44iLbQUe9xTkxBFRp9w,2
04wd7xO46SSm_y4ZMPn3xA,1
Lt19vonofllRVZSylpJUfw,0
U0o9nEPjARht3tl-QyWKdw,0
gW8zsq06ADcwzI-37O6DmA,0
oY0AzLnMeew5lwIGr-QEhw,0
RYpqWvXBWJDoGAZ3SOfeAg,0
Oufw9LUfU2Py1oMEfL40oA,2
Fr8nfP8ErCGOYEPp4cdWLA,1
9OEXHuw1lHwuwJ5XuuiIxA,0
i0EjXSKtPDq6b3Dqowc6BA,2
dRFp4LfE6K9pvJWYS5U83g,0
l7q4TL9tEA-PjEp4-L0Tlw,2
ACGxPsttRQCMugUn2LtcPQ,0
kcdrGBd6V2CSzHR2Jd9QKg,2
IP3kUQ7R4SAt_AjU0XZT7Q,2
JW6Gm43RWg8N3DaGXvoaHw,0
EmglDju0A1W3grmq6CMdqw,2
rVGPwYn0HFLWu_Hq5hd3mQ,0
YaBp6EfDtSojfQgLDRpjgQ,0
rcJQ2z6jL1QLvzMWh65K2A,1
rLxLr833C-K-VeSh2QkPIg,2
pOjaNdGHVV7AF9CTB6drpA,2
D767UmnxMrF2-NOm5nVPig,0
VW03_qdrO0CHF4lw6doleA,2
ROQ6VOeoqwO0eAYcs9vjIA,0
6GrvOnZ9paDBfLj-G4Bz2Q,2
d3ALMV2qukyvzn_6oO4H_g,0
UGtsRWtb5D-PjjVDuAuq4A,1
nlkcgiA89r5_KFPr6wpo0A,0
7QQFucZszBZ-tmoYE2SIyw,0
N47ROyojfYvl5SHI6Uyl9w,0
9mtuq_7u8Z-ThF0wxBXDBA,0
hdzJBUgaNnir-Iww3J9R7g,0
uJOxQa0AjeXxKQpG10Gqnw,1
cK42Glmob5f6LqITP11DZQ,2
goeYOwRgvJec9fuxSiVPEQ,2
tWK_oHWUYwC4AyLiPxpanA,0
gFFIypzk90AUeEWc9RxMZg,2
qq-ZusLqWSxWoHsy2lyKag,2
2KsleGYnEEaeT5zVdcPCUg,2
tJ9P6cCdo5Zqw82VkUnUXw,2
jT2oXllObtPh9_erp3syWw,1
qegiraYsEvKPdd83CTM-GQ,0
pP85IXYPVPHyUYAV8pqBWw,2
jqxVz0zdzj7NOAHuNG7jAA,2
1rFoY4gfAXvdrovKVKyWEw,0
1_4i0-udoteBYK_EzlNHTg,2
Czo6bLpb2IrfyEE9h6KPIg,2
5v-NxzPj6Df60A-SBclkmg,2
MNPKhsKj_iOqbzcZeS_SmQ,2
qT11ylAwlFnkvjHNm9dhgg,0
iO3o3akM-7U_-du6oL9WEw,2
iNCWzeGwFqJaTTFWUQyxRg,2
GqiQ0cxa90Wj3z52kRqJGw,2
3jQqu6ydCAo7sS3Nt2Tgnw,2
N9o6vIUXbnHvYRpboPZJGw,2
Ajgrj8yJlpC1s6TFmZvW4A,2
jkwwN_JoK8Z0rqbVHi798A,2
4Ur4eavt4JkapOifSojhGw,2
Y5K0I7U5DP1CMcQukVeCTg,2
5grL_0vMPOb_swr_FgEY6Q,0
NUpefxzQQJw6VS383s-0og,2
GIdTmdsg5OAF735O_D-wRA,2
eJobK3zzUYK9mj5v09AYng,2
QjEe0KhtjccfwEyn-JDP0g,2
jeVsZJmPlpKk5nLLr6Bn0A,1
N_ch_kqwN2fl2r2AT_sYzQ,2
EhmwIDLFazp1VPaKyYqVIg,1
5TnGrP6inVMJ0Ixk1c74Bg,2
BuUH9GUCYMGxF_rrJaBcYQ,2
rKK5OG8U601qigwV6236cg,2
Y1ZA5boPO7gQ8pYuFSLGGA,0
SOIxZtT0qLqrpMNWiVJFSQ,2
73g3e9MdcuGRjzVlvuorrA,2
wk2C6dNqkNg8VxeTipow9A,2
ETU_oD15MLbUb2zTMcMzLA,2
XnmEdFuFDESwTSdoPjodQQ,2
igecRll-s2-2_0e5jV1mhw,2
64_2kEwQi2BruBLZvcgTvg,2
HsBtNU-Fz0c6NbYNAyULYg,2
