review_id,senti
HemmrF3G-NbMme3AbOftZA,2
04-lPL0yny5RgThqLyY3VA,1
FrZjhqOyv4uCrbAmKpII2g,0
7Rm8YQ6FHbMQFM79-xNRpw,2
FqpiMfIzf4wSIv0o6t7Wzg,2
V5lPZL8vxlKbX1tK-jd1Mw,1
lFw7BUqL7ZTvO2cmOYx6kA,0
INpsOExtc4MLyvfhfP7uNA,1
dANcsYMOnehktDyAr7PI8g,2
qQOGXF81iufAPUTucgfGlg,1
PxHHQ23Od5MD3_KXRB0gHQ,0
tEIjwWJNfxGzLxhNsonHKA,2
kVWcj1Xg1NvkErJ-hmylYA,2
ARIKXepPkIWIz5uwPfisQQ,1
5ScmObOlLF9YiqJlgkbICQ,2
8GVLLCroBAYIIZO6P0LcTg,2
QoEG_b0lJfkbCqS1lULOqg,2
TPqLl9lJ7zwqSaA5Wc4oSA,2
vti0keefug7pZlySQn0TXQ,1
MmMUaUL3MRISi0lICqlIug,2
oRBw72Bhkdbw0DtQM3KciQ,2
TWbA6zNUB7CV_YR6WLMs4g,2
0jss9w0C9BaBRhSEi_bxjg,2
DHP5p3Xd4xoc0tzChJUJIg,2
7XDAPTSUjw-x3Imqpo1O2A,2
ookUFXhQjcXs0ZqSwl7uKw,2
0cI2c6baWB7SsMhqFz7mzQ,0
cbXSVizQh6sIXaVP-bwUyA,2
mwiGWsoJxQbEVOLxusyD7A,2
M-7Xv-_ktd6lUKBMeC2xFA,2
iVPwTQVLs8WehSZ6J-RJlQ,2
u4hEHHNxJVDkitbUiA0WDw,0
YW1fsEzehHThLxwz-KexjA,2
9Jz8Q9ZShIMCLLt7_udmIQ,0
B2BlGusPxpXZbVJXW9w3Iw,2
XA2IgLi62MdmEwq4kpoQBQ,2
HV24f_PF8p-f0-eMfFTorA,2
ufQ_w5gSQNB22i76bR8zzw,2
90Lz011d1ZRybb2mg0P2Pw,2
XN-vQD5xo_MNpoftxAv-4Q,2
uHlZCZ8u-f2_yPBghPgSmQ,2
IE4f6uXGb-_c3B6AG48LJw,2
Lt8iZJxy6rOAW92niWP6CQ,2
ECVbyejmQ6tsuksOzCqi6w,2
46XaG_9PiKeeFVpgYJ6Ujw,2
1a8t6p_u2PSgnIO_ObqhUQ,2
ZmjLOeNakZpLkEWmY1bxxw,2
heqXz__L9om_mb8rLLFkVg,2
TlTCQkP36ilqgZqH283g0A,2
QpcWKPWwHj60DVrPtAYQBg,2
Nup9QY-ooKK9WXoGYrregw,2
6U1aw-pPbkqXbShsXeLbjw,2
S7K9pFVi41WiMHONP0sKsA,2
wiFtyVo1oCnaC5z3vsVo7A,2
swX2oRyduHcwMbHgbOiyiw,2
Yl9zP9o9LP3oJaq0bg8Qdg,2
CR7G6-O4CR14CDASh_sAcg,0
692agMTkHolGw5GWPZlcWg,2
CsMPyTMxxRR39vsZa0eQLA,0
IvfSBZRe5IBlgOChMkLTZA,2
hae07k1Xtc-0ZjkY5i4GKQ,2
EfET5gQ-r4YVX2d_vu9rHw,2
PYJkLljtEYBNnvdQ_2DO4A,2
mrFKyg7RkiiLoYOy9X_7yA,0
CnQKLDRoQgDVQR-oGybSzw,0
BDy2QH0O27hRCFf1aMl9vQ,0
7VItJh-rRc3zt1mnqd8rkQ,0
5hk2Ngs9TbGcivJxQDNCZw,2
GLSeuT6lIUrjElxYW0NG9A,2
A2O7r3tZSzK4JZeuQnu31g,2
y0xWtpBYp3GGYXk0M3bGZQ,2
F5mFK_TSjqlc_16f-pZhIQ,2
AtQNP2cjxiq9QmaYW3-KmQ,2
3toaoDmg6W1go75sCNbE8Q,2
t69JW97BxOwyy239TCZ0lQ,0
VD0iLfctfdJdnXJSrzZyog,0
sM9tNGE0AJBrdPu2PY52Iw,1
leC-1Tn5JqhaQDRhgxAjyg,0
DmO5vkWkeJEBWyt7fqpvOQ,2
xT8fcLxlS2Hc-Oo0e7iViQ,0
QUrwll-Jgv8sQ4Np5zU3AQ,0
-Uxtk3hr4OyOfmBij-yzFA,0
cRKIvyGuQ51BbV8epXUAzw,0
hroEBBh1i_iI0JpbPs-Usg,0
CE5kg04MHeR7wQ_U5q8xRg,1
GclAADJFNC0me8JnahAImw,0
KyVl0ygcXsxsS6Hz_iHxJQ,1
iiY6IqilUU_Gzeu_BeeCUQ,1
Gwa1n7Bj5gWQjmsru3_Gqw,0
hFrVA-JW63ltwM6CTv8aGw,1
ahi71kvX29-ROCksEU37tA,0
SaxBuYZ0gFv0tfgRrWYnSg,0
-rKbnlGQ3FQBCSCYXJpysw,0
FsjDjWp--7qgeXE53exVxg,0
YleWOsH2VIFej7nHQOHSmA,1
Fw3SmepNqjHjhr7Ih-2FWA,1
rE7Ojh1z1w1UVxSiY9I-9A,1
xz0INNoqk-CEhTiHmFdRLQ,2
q2yinxiK51maMWf776p4Ng,0
gUnwFTEavScxcjsu7LxbNQ,0
SI6n-_WILdy2xvkcYqRS7A,2
QkHSM1Q9rCjSE0-Vp-Vr0w,2
JlwobYq8HytA03ktl4tRQw,2
RXh6l_DfATxtYUTr6rf7pA,1
U1p3mOxKAKSQy0DCaHa6ww,0
lJRge5_w-qtI4W3Szss0pg,2
k9FBDsz84VwAF6oWpJjkyA,2
aUfn67IWPwozXfQXW2gU_A,2
sOM8TE6o1s3ZwtgM4DTgQg,0
JJmKcbDiwaFnP31YQL-xag,0
JRVtuyb-jdnxiY5lUo19hQ,1
lkKTdmXVWta2kqSPoj8CDA,2
4bHb7-MeJVlsNOdcAilYEw,0
L_-or9KOr_hb2Sz7qX1epA,2
E4PpTODIPC4ug_662dO3dg,2
nU7fdHYE_eoivFCO69lwtw,2
PHCtNJb26Ego4sJLZ2ixow,2
1zoWkbwtEsdexHRSgwT7nw,2
3cPnd4UWMz-7Wg4My7DozQ,2
JFUTm177xtNVISPkzJRyrQ,0
