business_id,full_address,city,review_count,name,longitude,state,stars,latitude
mVHrayjG3uZ_RLHkLj-AMg,"414 Hawkins AveBraddock, PA 15104",Braddock,11,Emil's Lounge,-79.8663507,PA,4.5,40.408735
KayYbHCt-RkbGcPdGOThNg,"141 Hawthorne StGreentreeCarnegie, PA 15106",Carnegie,15,Alexion's Bar & Grill,-80.067534,PA,4.0,40.415517
wJr6kSA5dchdgOdwH6dZ2w,"2100 Washington PikeCarnegie, PA 15106",Carnegie,8,Kings Family Restaurant,-80.0928745,PA,3.5,40.3877323
fNGIbpazjTRdXgwRY_NIXA,"1201 Washington AveCarnegie, PA 15106",Carnegie,5,Rocky's Lounge,-80.0849416,PA,4.0,40.3964688
b9WZJp5L1RZr4F1nxclOoQ,"1073 Washington AveCarnegie, PA 15106",Carnegie,38,Gab & Eat,-80.0847998,PA,4.5,40.3967441
zaXDakTd3RXyOa7sMrUE1g,"202 3rd AveCarnegieCarnegie, PA 15106",Carnegie,5,Barb's Country Junction Cafe,-80.089985,PA,4.0,40.404638
WETE_LykpcnrC1sFcQ5EGg,"215 E Main StCarnegieCarnegie, PA 15106",Carnegie,6,Paddy's Pour House,-80.085279,PA,3.5,40.40867
rv7CY8G_XibTx82YhuqQRw,"Raceway PlzCarnegie, PA 15106",Carnegie,3,Long John Silver's,-80.0937037,PA,3.5,40.3868915
SQ0j7bgSTazkVQlF5AnqyQ,"214 E Main StCarnegieCarnegie, PA 15106",Carnegie,8,Don Don Chinese Restaurant,-80.084861,PA,2.5,40.408343
wqu7ILomIOPSduRwoWp4AQ,"2180 Greentree RdPittsburgh, PA 15220",Pittsburgh,7,Denny's,-80.073426,PA,4.0,40.391255
P1fJb2WQ1mXoiudj8UE44w,"200 E Main StCarnegieCarnegie, PA 15106",Carnegie,46,Papa J's,-80.0854582,PA,3.5,40.4082572
PK6aSizckHFWk8i0oxt5DA,"400 Waterfront Dr EHomesteadHomestead, PA 15120",Homestead,5,McDonald's,-79.910032,PA,2.0,40.412086
sRqB6flj3GtTZIZJQxf_oA,"285 Waterfront Dr EHomesteadHomestead, PA 15120",Homestead,3,Eat'n Park Hospitality Group,-79.9123428,PA,2.5,40.4116918
3gmBc0qN_LtGbZAjTtHWZg,"270 W Bridge StHomesteadHomestead, PA 15120",Homestead,16,Starbucks,-79.916958,PA,3.5,40.407091
6ilJq_05xRgek_8qUp36-g,"650 E  Waterfront DrHomesteadMunhall, PA 15120",Munhall,36,Steak 'n Shake,-79.9044562,PA,2.0,40.413496
MKyk4F4HSzHF8v-4cYe3Ww,"171 E Bridge StHomesteadHomestead, PA 15120",Homestead,25,Sing Sing,-79.9151108,PA,3.5,40.4094884
1qCuOcks5HRv67OHovAVpg,"122 W 8th AveHomesteadHomestead, PA 15120",Homestead,16,Duke's Upper Deck Cafe,-79.912595,PA,3.5,40.405311
sbW8qHJgzEIH42B0S-3New,"180 E Waterfront DrHomesteadHomestead, PA 15120",Homestead,52,Dave & Buster's,-79.9140822,PA,3.0,40.4097113
McikHxxEqZ2X0joaRNKlaw,"171 E Bridge StHomesteadHomestead, PA 15120",Homestead,94,Rock Bottom,-79.9151108,PA,3.5,40.4094884
EoAY1JSVeJriBzId8lUQwQ,"244 W Bridge StHomesteadWest Homestead, PA 15120",West Homestead,46,Bar Louie,-79.917508,PA,2.5,40.4070709
TfvWSIAMFZ9zI3y2-K6wOA,"3360 Main StMunhall, PA 15120",Munhall,4,The Dragon Chinese Cuisine,-79.9028194,PA,2.5,40.3867759
tU-YtoW339PXJmUGSix_AQ,"185 Waterfront Dr WHomesteadHomestead, PA 15120",Homestead,15,T.G.I. Friday's,-79.9175086,PA,2.5,40.4087041
6p9TlP2I8S4agxYMNFSDjg,"205 East Waterfront DriveHomesteadHomestead, PA 15120",Homestead,33,Uno Pizzeria & Grill,-79.9141364,PA,3.0,40.410967
JDDeaNfb0JXD1NbznSIC9g,"The Waterfront148 W Bridge StHomesteadHomestead, PA 15120",Homestead,64,P F Chang's China Bistro,-79.91615,PA,3.0,40.4071112
FiXamVMgMf9U0VqFHDZSEA,"210 West Bridge StreetHomesteadWest Homestead, PA 15120",West Homestead,17,Panera Bread,-79.9166162,PA,3.0,40.407152
uLnDFdn011hEroQQMLmxNQ,"3502 Main StHomestead, PA 15120",Homestead,5,The Pizza Company,-79.9033649,PA,3.0,40.385745
eznh0XjVtv924K-KYx_ilQ,"245 Waterfront Dr EHomesteadHomestead, PA 15120",Homestead,13,Eat'n Park Restaurant,-79.9132525,PA,3.0,40.4113236
usSROUMiAgPcxV3Ym0OxMQ,"185 W. Waterfront DriveHomesteadPittsburgh/Waterfront, PA 15120",Pittsburgh/Waterfront,73,Mitchell's Fish Market,-79.9180894261,PA,4.0,40.4088783792
CL3tZqbYT7B5zgewKCS6-Q,"Kennywood & HoffmanWest Mifflin, PA 15122",West Mifflin,4,McDonald's,-79.8626605,PA,1.0,40.3849854
u22QDAON1kk0wjoTliyftw,"4426 Kennywood BlvdWest Mifflin, PA 15122",West Mifflin,3,Latina Pizza,-79.868305,PA,4.0,40.389192
53Yk2EODWnV9qHQECzeHVQ,"1842 Homeville RdWest Mifflin, PA 15122",West Mifflin,5,Bellisario Pizza Shop,-79.8737336,PA,3.5,40.3736775
iBZRphMDFcS2aMbawc1OvA,"1822 Homeville RdWest Mifflin, PA 15122",West Mifflin,4,Hunan Wok Chinese Restaurant,-79.8737336,PA,5.0,40.3736775
hnHt6EinzC-IX6y3GSF7jw,"927 5th AveMcKeesport, PA 15132",McKeesport,7,Minerva Bakery,-79.854724,PA,5.0,40.35208
r8BwdblCW-ZUES37BL0khw,"719 Broadway AveMcKees Rocks, PA 15136",McKees Rocks,10,Marge's Place,-80.074153,PA,4.5,40.472505
OZfpG8tDCcIEq8pzgZdyKw,"6570 Rt 60 Steubenville PikeMcKees Rocks, PA 15136",McKees Rocks,5,Applebee's,-80.0656106,PA,3.0,40.46562
T49ZvBa6mD4xHSmjHe-ArA,"421 Lincoln AveBellevueBellvue, PA 15202",Bellvue,9,R & B's Pizza Place,-80.0533931,PA,4.0,40.494301
eOv0Dbq2E8sd0CKMAqTImw,"531 Lincoln AveBellevueBellevue, PA 15202",Bellevue,15,Luigi's Pizzeria,-80.056877,PA,4.0,40.495887
_jsJFrAmFVPRio0eEVExbA,"4557 Ohio River BlvdBellevuePittsburgh, PA 15202",Pittsburgh,4,McDonald's,-80.06235,PA,2.5,40.492067
Lml0-yTNsMYsP9IrSMxw9A,"610 Lincoln AveBellevueBellevue, PA 15202",Bellevue,6,China Sea Chinese Restaurant,-80.0586009,PA,2.5,40.4970698
QVZBd_eu0oJ4IN0md2XPTQ,"565 Lincoln AveBellevueBellevue, PA 15202",Bellevue,3,Vivo,-80.057905,PA,5.0,40.496371
7wT532x2Qz5Hw9BqtBapqw,"543 Lincoln AveBellevueBellevue, PA 15202",Bellevue,14,Lincoln Bakery,-80.057219,PA,4.0,40.496068
