business_id,full_address,city,review_count,name,longitude,state,stars,latitude
x5Mv61CnZLohZWxfCVCPTQ,"2819 N Central AvePhoenix, AZ 85004",Phoenix,11,Domino's Pizza,-112.0734183,AZ,3.0,33.4795416
2ZnCITVa0abGce4gZ6RhIw,"1850 N Central AvePhoenix, AZ 85004",Phoenix,5,Viad Tower Restaurants,-112.074315,AZ,3.5,33.468988
EmzaQR5hQlF0WIl24NxAZA,"132 E Washington StPhoenix, AZ 85004",Phoenix,23,Sky Lounge,-112.0717019,AZ,2.5,33.4483992
SiwN7f0N4bs4ZtPc4yPgiA,"710 N Central AvePhoenix, AZ 85004",Phoenix,17,Palazzo,-112.074225,AZ,2.5,33.456068
KPoTixdjoJxSqRSEApSAGg,"2631 N Central AvePhoenix, AZ 85004",Phoenix,322,Wild Thaiger,-112.073523642,AZ,4.0,33.4779339657
e5kc0CQ4R-PCCDgb274gSg,"455 N 3rd StSte 114Phoenix, AZ 85004",Phoenix,191,Canyon Cafe,-112.0691194,AZ,3.5,33.4526031
gBcpDl0quCLABsg5OuSFww,"622 E Adams StPhoenix, AZ 85004",Phoenix,11,Teeter House Tea Room,-112.0656645,AZ,3.0,33.4495394
72N6TdH5MdUWE2YhYRbyxw,"2530 N Central AvePhoenix, AZ 85004",Phoenix,7,Burger King,-112.074248,AZ,2.5,33.47626
eOgUKCy5-sK-leqIBiNokg,"2 N Central AvePhoenix, AZ 85004",Phoenix,3,Copper Square Cafe,-112.0744277,AZ,3.0,33.4484911
neGAQFkBNI8-rpPBLBzNkw,"301 East McDowell RoadPhoenix, AZ 85004",Phoenix,8,Taco Bell,-112.06909,AZ,3.5,33.46544
45puCRQ6Vh_IIAy7kkfFDQ,"24 N 2nd StPhoenix, AZ 85004",Phoenix,170,Majerle's Sports Grill,-112.0712574,AZ,3.5,33.4484654
nc3IiY5LNdmEwUZCW84yuA,"455 N 3rd StPhoenix, AZ 85004",Phoenix,18,Pizzeria Uno,-112.0693177,AZ,2.5,33.4527955
P7wKlbSRsoRrfH3DFOY08A,"2508 N Central AvePhoenix, AZ 85004",Phoenix,43,International House of Pancakes,-112.0740016,AZ,3.0,33.4756064
BESmH-lmMm34_EefL8X9fQ,"1830 S Central AvePhoenix, AZ 85004",Phoenix,204,Comedor Guadalajara,-112.073929,AZ,4.0,33.429424
D09yG6Z3gcsh24Qn7Y4gYA,"530 E McDowell RdSte 103Phoenix, AZ 85004",Phoenix,73,Chico's Tacos,-112.0657286,AZ,3.0,33.4657117
kaIue7GRCmkPzDeHDBTttQ,"1401 N Central AvePhoenix, AZ 85004",Phoenix,152,Phoenix Blue Fin,-112.073569,AZ,4.0,33.4640982988
j8nyAaN_w5t6wYv-ni23sg,"412 S 3rd StPhoenix, AZ 85004",Phoenix,77,Coach & Willies,-112.070061,AZ,3.0,33.443864
5XIvwfbIa-vuFEkkeCQ6kQ,"245 E Jackson StPhoenix, AZ 85004",Phoenix,10,Jackson's On 3rd,-112.0703479,AZ,2.0,33.4450348
